ticker,current_price,market_cap,enterprise_value,ev_ebitda,pe_ratio,price_to_book,total_debt,debt_to_equity,free_cashflow,current_ratio,revenue_growth,profit_margins,roe,beta,news_text,imputed_count,net_debt,earnings_quality,value_score,health_score,growth_score
AUBANK.NS,973.0,725294514176.0,771281584128.0,14.556000000000001,33.41346,3.9620652,103190421504.0,279.083,2517028864.0,7.799,0.061,0.24002,0.12654,0.307,"AU Small Finance Bank stock up 94% in 8 mths; should you buy, hold or sell?. AU Small Finance Bank Share Price: AUBANK stock in focus as lender gets RBI nod to become universal bank. India's AU Small Finance Bank rises to record high as asset quality, margin improves",0,100673392640.0,0.5780000000000001,0.6417021276595745,0.3031914893617021,0.5212765957446809
AXISBANK.NS,1272.7,3950769602560.0,5509607849984.0,14.556000000000001,15.243742,1.9785032999999999,2408414969856.0,279.083,2517028864.0,7.799,-0.06,0.34296000000000004,0.14004,0.316,Market volatility observed. Sector performance mixed.,0,2405897940992.0,0.664,0.8357446808510639,0.3031914893617021,0.47446808510638305
BAJFINANCE.NS,1006.4,6254911553536.0,9447102480384.0,14.556000000000001,34.231293,6.0557923,3276648742912.0,310.294,2517028864.0,6.34,0.20600000000000002,0.45033002,0.19090000000000001,0.199,Market volatility observed. Sector performance mixed.,0,3274131714048.0,0.831,0.5765957446808511,0.2834042553191489,0.8136170212765959
BAJAJFINSV.NS,2065.8,3298348498944.0,6977167556608.0,13.214,34.481724,4.298377,3224357830656.0,237.537,157416685568.0,2.17,0.111,0.069510005,0.15100999,0.261,"Bajaj Finance shares crash 7% today after Q2 results as growth guidance cut; brokerages broadly positive. India's Bajaj Finance shares down after forecast disappoints. Bajaj Finserv (NSE:BAJAJFINSV) sheds 3.3% this week, as yearly returns fall more in line with earnings growth",0,3066941145088.0,0.41700000000000004,0.64,0.23063829787234041,0.4153191489361702
BANKBARODA.NS,285.0,1474180284416.0,1701203017728.0,14.556000000000001,7.6633506,0.92726356,1482466131968.0,279.083,2517028864.0,7.799,0.002,0.29929,0.13079001,0.41100000000000003,"Bank of Baroda (NSE:BANKBARODA) grows 6.1% this week, taking five-year gains to 584%. Bank of Baroda Q2 preview: Weak NIM, treasury income to likely hit profit. Bank of Baroda, Bank of India, other PSU banks rally up to 3% amid reports of merger, privatisation of smaller lenders",0,1479949103104.0,0.623,0.9095744680851063,0.3031914893617021,0.4863829787234043
BANKINDIA.NS,140.76,640833486848.0,934298714112.0,14.556000000000001,6.645892,0.76710117,1179661500416.0,279.083,2517028864.0,7.799,0.025,0.31301,0.12234,0.8260000000000001,"Bank of India announces update on NCDs, stock advances 2%; check details. SBI, Bank of Baroda, Bank of India shares edges higher with significant improvements. Central Bank Of India - Positive Breakout: These 8 stocks cross above their 200 DMAs",0,1177144471552.0,0.602,0.9214893617021277,0.3031914893617021,0.5110638297872341
MAHABANK.NS,57.45,441879822336.0,505993920512.0,14.556000000000001,7.244641,1.4071915,249236504576.0,279.083,2517028864.0,7.799,0.202,0.49128000000000005,0.22427000000000002,0.649,"Bank of Maharashtra OFS: Govt to exercise green shoe option post 'overwhelming response' on Day 1; shares fall over 1%. Stocks to buy: Sagar Doshi suggests Amber Enterprises, Lloyds Metals, Bank of Maharashtra shares to buy. Bank of Maharashtra, UCO Bk, IOB: PSBs rise up to 6% on June 2; here's why",0,246719475712.0,0.874,0.8961702127659574,0.3031914893617021,0.832340425531915
CANFINHOME.NS,905.1,120517795840.0,476897607680.0,14.556000000000001,13.07948,2.20635,359814135808.0,658.72,2517028864.0,123.327,0.224,0.64204,0.18129998,0.403,"Why are Can Fin Homes shares down 3% after Q4 results? All you need to know. Can Fin Homes Limited's (NSE:CANFINHOME) Business And Shares Still Trailing The Market. Market Trading Guide: PVR Inox, Can Fin Homes are among 4 stock to buy for short term gains up to 6%",0,357297106944.0,0.832,0.8302127659574468,0.2970212765957446,0.8336170212765958
CHOLAFIN.NS,1719.4,1450921689088.0,3235802513408.0,14.556000000000001,31.199419,5.578972,1879017390080.0,724.311,2517028864.0,112.664,0.196,0.39157000000000003,0.19619,0.394,"Buy Cholamandalam Investment, SBI Life, HAL, says analyst at Motilal Oswal. 3 technical stock picks for this week with potential upside of up to 13%. Stock market today: Trade setup for Nifty 50 to India-Pakistan news; Eight stocks to buy or sell on Wednesday",0,1876500361216.0,0.829,0.6138297872340426,0.29297872340425535,0.7995744680851066
FINCABLES.NS,738.55,112953352192.0,84938096640.0,14.556000000000001,17.01728,1.9815407999999999,215200000.0,0.377,2517212416.0,7.672,0.049,0.119720004,0.12194,0.178,"There's No Escaping Finolex Cables Limited's (NSE:FINCABLES) Muted Earnings. Finolex Cables, Finolex Industries surge up to 14% as NIFTY50, SENSEX rally for the 6th straight day. Finolex Cables' (NSE:FINCABLES) five-year total shareholder returns outpace the underlying earnings growth",0,-2302012416.0,0.41600000000000004,0.8217021276595745,0.6455319148936169,0.37234042553191493
FINPIPE.NS,165.43,102287671296.0,81446821888.0,17.105,21.263494,1.7283239,212200000.0,0.359,-453912512.0,5.29,0.037,0.11788000000000001,0.07564000000000001,0.381,"Finolex Cables, Finolex Industries surge up to 14% as NIFTY50, SENSEX rally for the 6th straight day. Finolex Industries' (NSE:FINPIPE) Solid Earnings May Rest On Weak Foundations. Breakout stocks to buy or sell: Sumeet Bagadia recommends five shares to buy today — 27 May 2025",0,666112512.0,0.318,0.7908510638297872,0.6374468085106384,0.3225531914893617
HDFCBANK.NS,1000.3,15387086290944.0,19622954795008.0,14.556000000000001,22.864,2.8250756,5995072323584.0,279.083,2517028864.0,7.799,-0.07200000000000001,0.26962999,0.10843000600000001,0.447,"HDFC Bank Share Price Live Updates: HDFC Bank's Stock Performance Overview. HDFC Bank to re-rate, outperform ICICI Bank by FY28? Emkay lists 4 reasons. HDFC Bank, SBI, DMart among Axis Securities' top stock picks for December; check full list",0,5992555294720.0,0.5469999999999999,0.7542553191489362,0.3031914893617021,0.4051063829787235
ICICIBANK.NS,1360.0,9723781840896.0,10381677297664.0,14.556000000000001,18.400757,2.8957734,2152396750848.0,279.083,2517028864.0,7.799,0.079,0.27915,0.17599002,0.271,"HDFC Bank to re-rate, outperform ICICI Bank by FY28? Emkay lists 4 reasons. ICICI Bank Share Price Highlights: ICICI Bank Stock Price History. Stocks to watch: IndiGo, Siemens, L&T, ICICI Bank among 10 shares in focus today",0,2149879721984.0,0.75,0.7770212765957447,0.3031914893617021,0.6251063829787236
